"Organisation H-ID"	"Organisation Record Title"	"Short name / acronym"	"Full name of organisation"	"Alternative name(s)"	"Organisation type"	subtype	Country(ies)	"Logo or representative image"	"Logo or representative image ID"	"Logo or representative image Name"	"Logo or representative image Path"	"Short description"	"Start date"	"Start date (temporal)"	"End date"	"End date (temporal)"	Thumbnail	"Thumbnail (temporal)"	Location	"Short description"	"subordinateTo (Organisation) H-ID"	"subordinateTo (Organisation) Record Title"	"Contact details or URL"	"Location (mappable point)"	note	"Related files"	"Related files ID"	"Related files Name"	"Related files Path"	"CartulR Entity ID"	mediumId	indexReference	IndexFontenay
97173	"Gimont, abbaye"		"Gimont, abbaye"				France					"abbé, O. Cist."												"POINT(0.8764 43.62638)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e226210	
97174	"Gimont, bailie, bastide et consulat"		"Gimont, bailie, bastide et consulat"				France																	"POINT(0.8764 43.62638)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e226222	
97178	"Abbécourt, abbaye de Prémontrés"		"Abbécourt, abbaye de Prémontrés"	Aubecour			France					"O. Praem"												"POINT(1.9779 48.92162)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e132126	
97179	"Agen, sénéchaussée"		"Agen , sénéchaussée"				France																	"POINT(0.62055 44.20199)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e133354|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e133379	
97181	"Gironde, seigneurie"		"Gironde, seigneurie"				France					seigneur												"POINT(-0.08686066 44.58606611)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e226467	
97182	"Gisay, seigneurie"		"Gisay, seigneurie"				France					dame												"POINT(2.04161851 46.85413731)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e226551	
97186	"Gisors, bailliage"		"Gisors, bailliage"	"Gisorcii ballivia"			France																	"POINT(1.7801 49.28178)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e226683|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e226566|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e226603|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e226787|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e226763	
97191	"Arzens, vicomté"		"Arzens, vicomté"				France					"notaire du vicomte"												"POINT(2.20962 43.19947)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e143754	
97196	"Gisors, prévôté"		"Gisors , prévôté"				France																	"POINT(1.7801 49.28178)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e226812	
97197	"Gisors, vicomté"		"Gisors , vicomté"				France																	"POINT(1.7801 49.28178)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e226827	
97203	"Glère, seigneurie"		"Glère, seigneurie"				France					seigneur												"POINT(6.99378 47.34379)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e227022	
97205	"Goëllo, seigneurie"		"Goëllo, seigneurie"				France					seigneur												"POINT(-3.15289 48.56259)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e227173	
97208	"Gomerfontaine, abbaye (de)"		"Gomerfontaine, abbaye (de)"				France																	"POINT(1.83875517 49.28324)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e227264	
97209	"Gometz-le-Châtel, prévôté"		"Gometz-le-Châtel, prévôté"				France					prévôté												"POINT(2.13792 48.67837)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e227282	
97210	"Gondrecourt-le-Château, château et châtellenie"		"Gondrecourt-le-Château, château et châtellenie"				France					"château et châtellenie"												"POINT(5.51058 48.51366)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e227323	
97227	"Gournay-en-Bray, châtellenie"		"Gournay-en-Bray , châtellenie"				France																	"POINT(1.72471 49.48285)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e227772	
97228	"Gournay, marché royal"		"Gournay, marché royal"				France																	"POINT(1.72471 49.48285)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e227784	
97234	"Gournay-en-Bray, prévôté"		"Gournay-en-Bray, prévôté"				France																	"POINT(1.72471 49.48285)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e227857|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e227845	
97236	"Gournay-en-Bray, seigneurie"		"Gournay-en-Bray, seigneurie"				France																	"POINT(1.72471 49.48285)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e227869	
97239	"Gouzeaucourt, seigneurie"		"Gouzeaucourt, seigneurie"				France					seigneur												"POINT(3.12351 50.05606)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e227950	
97240	"Grâce (La), monastère (de)"		"Grâce (La), monastère (de)"				France																	"POINT(3.55654 48.85464)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e228014	
97241	"Grâce-Dieu (La), abbaye Notre-Dame (de)"		"Grâce-Dieu (La), abbaye Notre-Dame (de)"				France					"O. Cist."												"POINT(-0.8175 46.2041)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e228030|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e228045	
97245	"Grainville-la-Teinturière, marché"		"Grainville-la-Teinturière, marché"				France					marché												"POINT(0.64048 49.74773)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e228143	
97248	"Grainville, seigneurie"		"Grainville, seigneurie"				France																	"POINT(1.2982 49.47806)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e228170	
97249	"Grammont, maison (de)"		"Grammont, maison (de)"				France																	"POINT(0.76904613 49.00950338)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e228203	
97251	"Gramont, seigneurie"		"Gramont, seigneurie"				France					seigneur												"POINT(-1.1496199 43.47073812)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e228229	
97252	"Grancey-le-Château, seigneurie"		"Grancey-le-Château, seigneurie"				France					seigneur												"POINT(5.03333 47.66667)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e228262	
97255	"Grand-Andely (Le), Hôtel-Dieu"		"Grand-Andely (Le), Hôtel-Dieu"				France																	"POINT(1.41168 49.24557)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e228319	
97257	"Asnières, église de Saint-Jean et prieuré prémontré de Saint-Eustache"		"Asnières, église de Saint-Jean et prieuré prémontré de Saint-Eustache"				France					"église de Saint-Jean et prieuré prémontré de Saint-Eustache"												"POINT(0.39779 49.19533)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e143868	
97260	"Grand-Caux (Le), archidiaconé"		"Grand-Caux (Le), archidiaconé"				France					archidiacre												"POINT(0.3922726 49.6629465)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e228388	
97267	"Grandmont, prieuré et ordre (de)"		"Grandmont, prieuré et ordre (de)"				France																	"POINT(1.39225 46)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e228534|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e228558	
97271	"Grandouet, fiefferme"		"Grandouet, fiefferme"				France					fiefferme												"POINT(0.05341525 49.14513662)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e228609	
97272	"Grandpré, comté"		"Grandpré, comté"				France					comte												"POINT(4.87067 49.34065)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e228645	
97274	"Grandselve, abbaye (de)"		"Grandselve, abbaye (de)"				France					"O. Cist."												"POINT(1.12009 43.84406)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e228687|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e228708	
97277	"Grandson, seigneurie"		"Grandson, seigneurie"				Switzerland					seigneur												"POINT(6.646 46.80946)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e228734	
97284	"Granges (Les), seigneurie"		"Granges (Les), seigneurie"				France					"dame, sire"												"POINT(4.0561 48.05978)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e228945	
97287	"Granière (La), territoire"		"Granière (La), territoire"	"Garnieira (La)"			France					"près du mas de La Roque-Guilhamar"																				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e229004	
97293	"Gravenchon, sergenterie du plaid de l'épée de la châtellenie"		"Gravenchon, sergenterie du plaid de l'épée de la châtellenie"				France					"sergenterie du plaid de l'épée de la châtellenie"												"POINT(0.57472229 49.49109957)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e229123	
97303	"Grestain, abbaye (de)"		"Grestain, abbaye (de)"				France					"abbé et religieux"												"POINT(0.33961113 49.40590792)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e229336	
97306	"Grez-sur-Loing, habitants"		"Grez-sur-Loing , habitants"				France																	"POINT(2.68848 48.31754)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e229431	
97308	"Grez-sur-Loing, prévôté"		"Grez-sur-Loing , prévôté"				France																	"POINT(2.68848 48.31754)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e229455|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e229443|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e229471	
97311	"Grigneuseville, seigneurie"		"Grigneuseville, seigneurie"				France					seigneur												"POINT(1.18824 49.65311)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e229498	
97320	"Groseau, prieuré (de)"		"Groseau, prieuré (de)"				France																	"POINT(5.13213 44.17393)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e229747	
97324	"Astarac, comté"		"Astarac, comté"				France					comte												"POINT(0.4 43.51)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e144116	
97330	"Guarrigua plana, territoire (dit)"		"Guarrigua plana, territoire (dit)"				France																									Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e229963	
97333	"Gué-de-Virson (Le), seigneurie"		"Gué-de-Virson (Le) , seigneurie"				France																	"POINT(-0.94681 46.14542)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e230023	
97339	"Guignecourt, mairie"		"Guignecourt, mairie"				France					mairie												"POINT(2.12805 49.48177)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e231756	
97348	"Guise, seigneurie"		"Guise , seigneurie"				France																	"POINT(3.62801 49.90055)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e239029	
97349	"Guyancourt, fief"		"Guyancourt, fief"				France																	"POINT(2.07393 48.77334)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e239120	
97352	"Guyenne, duché"		"Guyenne , duché"																													Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e239181	
97354	"Gy-les-Nonains, marché, prieure et religieuses"		"Gy-les-Nonains , marché, prieure et religieuses"				France																	"POINT(2.85054 47.94696)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e239229	
97363	"Haie-Joulain (La), seigneurie"		"Haie-Joulain (La) , seigneurie"				France																	"POINT(-0.47204 47.51942)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e239451	
97368	"Athènes, duché"		"Athènes, duché"				Greece					duché												"POINT(23.72784 37.98376)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e144395	
97370	"Ham, abbaye et moulins"		"Ham , abbaye et moulins"				France																	"POINT(3.07301 49.74721)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e239676	
97374	"Hans, seigneurie"		"Hans , seigneurie"				France																	"POINT(4.74892 49.10928)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e239949	
97377	"Harcourt, prieuré du Val-des-Écoliers dans le parc"		"Harcourt, prieuré du Val-des-Écoliers dans le parc"				France					"prieuré du Val-des-Écoliers dans le parc"												"POINT(0.78501 49.16717)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e240047	
97378	"Harcourt, seigneurie"		"Harcourt , seigneurie"				France																	"POINT(0.78501 49.16717)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e240059	
97390	"Athis, seigneurie"		"Athis , seigneurie"				France																	"POINT(2.39147 48.70522)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e144444	
97392	"Haudivilliers, mairie"		"Haudivilliers, mairie"				France					mairie												"POINT(2.24353 49.48777)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e240528	
97394	"Haut-Châlus-Chabrol (Le), château et châtellenie"		"Haut-Châlus-Chabrol (Le), château et châtellenie"				France					"château et châtellenie"												"POINT(0.98032 45.65493)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e240601	
97398	"Hautefort, château et châtellenie"		"Hautefort, château et châtellenie"				France					"château et châtellenie"												"POINT(1.14839 45.25915)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e240661	
97399	"Hauterive, seigneurie"		"Hauterive, seigneurie"				France					seigneur																				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e240676	
97403	"Haute-Seille, abbaye (de)"		"Haute-Seille, abbaye (de)"				France																	"POINT(6.942112901554404 48.58728160621762)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e240706	
97404	"Hautes-Bruyères, prieuré (de)"		"Hautes-Bruyères, prieuré (de)"				France					"prieure et religieuses"												"POINT(1.88077 48.75631)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e240721	
97412	"Havrincourt, terre, château et châtellenie"		"Havrincourt, terre, château et châtellenie"				France					"terre, château et châtellenie"												"POINT(3.08643 50.11163)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e240986	
97422	"Haye-Pesnel (La), seigneurie"		"Haye-Pesnel (La), seigneurie"				France					seigneur												"POINT(-1.39655 48.79561)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e241149	
97425	"Hébécourt, communauté"		"Hébécourt, communauté"				France					communauté												"POINT(1.72691 49.35332)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e241199	
97428	"Hennemont près Saint-Léger-en-Laye, prieuré"		"Hennemont près Saint-Léger-en-Laye, prieuré"				France					"maison, prieuré de l'ordre du Val-des-Écoliers"												"POINT(2.0904 48.89643)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e241514	
97433	"Hérelle (La), seigneurie"		"Hérelle (La), seigneurie"				France					seigneur												"POINT(2.41439 49.59112)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e242346	
97437	"Hérisson, châtellenie"		"Hérisson, châtellenie"				France					châtellenie												"POINT(2.71137 46.50862)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e242397	
97440	"Herpin, fief"		"Herpin, fief"				France																	"POINT(0.6669962142857147 49.20613550000001)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e242535	
97442	"Herstal, palais"		"Herstal, palais"				Belgium																	"POINT(5.62346 50.66415)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e242591	
97444	"Heudicourt, communauté"		"Heudicourt, communauté"				France					communauté												"POINT(1.65921 49.33702)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e242745	
97450	"Heutier, fief dit"		"Heutier, fief dit"				France																	"POINT(1.99137 48.94137)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e242874	
97458	"Hodenc-en-Bray, seigneurie"		"Hodenc-en-Bray, seigneurie"				France					sire												"POINT(1.89832 49.46692)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e243031	
97459	"Hodeng, fiefs"		"Hodeng, fiefs"				France					fiefs												"POINT(1.5863812359550558 49.537076966292126)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e243046	
97462	"Hollande, comté"		"Hollande, comté"				Netherlands					comtes												"POINT(4.80652 52.15034)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e243091	
97466	"Hondschoote, seigneurie"		"Hondschoote, seigneurie"				France																	"POINT(2.58372 50.978)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e243171	
97474	"Houtkerque, seigneurie"		"Houtkerque, seigneurie"				France					"seigneur, Gautier d'Hondschoote"												"POINT(2.59594 50.87713)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e243415	
97479	"Aubigny, mairie"		"Aubigny , mairie"				France																	"POINT(2.68614 48.59687)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e144768	
97483	"Huval, seigneurie"		"Huval, seigneurie"				France					seigneur												"POINT(1.44947066 49.28126626)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e245426	
97490	"Aubigny-sur-Nère, prévôté et châtellenie"		"Aubigny-sur-Nère, prévôté et châtellenie"				France					"prévôté et châtellenie"												"POINT(2.43895 47.48819)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e144980	
97492	"Ile-Dieu (L'), abbaye (de)"		"Ile-Dieu (L'), abbaye (de)"				France					"O. Praem, abbé et religieux"												"POINT(1.37411 49.42902)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e245586	
97493	"Ille (L'), fief (de)"		"Ille (L'), fief (de)"				France																									Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e245607	
97496	"Imbermais, seigneurie"		"Imbermais, seigneurie"				France					seigneur												"POINT(1.3895 48.6747)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e245652	
97501	"Aubrac, hôpital Notre-Dame ou Hôtel-Dieu des pauvres"		"Aubrac, hôpital Notre-Dame ou Hôtel-Dieu des pauvres"				France					"hôpital Notre-Dame ou Hôtel-Dieu des pauvres"												"POINT(2.98412 44.62147)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e144995	
97504	"Insula, maison royale (de)"		"Insula, maison royale (de)"				France					garde																				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e245921	
97505	"Iranci, homines et habitatores"		"Iranci, homines et habitatores"	Irancy			France					"homines et habitatores"												"POINT(3.66492 47.71348)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e246102	
97509	"Isle, châtellenie"		"Isle, châtellenie"				France					châtellenie												"POINT(4.12588 48.21232)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e247544	
97514	"Isle-Jourdain (L’), juifs"		"Isle-Jourdain (L’), juifs"				France					juifs												"POINT(1.0866 43.6122)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e247617	
97515	"Isle-Jourdain (L’), seigneurie"		"Isle-Jourdain (L’) , seigneurie"				France																	"POINT(1.0866 43.6122)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e247632	
97517	"Issigeac, monastère"		"Issigeac, monastère"				France					"doyenné, doyens et paroisse"												"POINT(0.60659 44.72966)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e247682	
97520	"Issoudun, couvent des Frères Mineurs"		"Issoudun , couvent des Frères Mineurs"				France																	"POINT(1.99362 46.94848)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e247721	
97521	"Issoudun, église collégiale de Saint-Cyr, prieur et chapitre"		"Issoudun , église collégiale de Saint-Cyr, prieur et chapitre"				France																	"POINT(1.99362 46.94848)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e247733	
97524	"Auch, diocèse"		"Auch, diocèse"				France					diocèse												"POINT(0.58856 43.64561)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e145052	
97530	"Issoudun, prévôté"		"Issoudun, prévôté"				France																	"POINT(1.99362 46.94848)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e247831|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e247846	
97541	"Jarcy, abbaye (de)"		"Jarcy, abbaye (de)"				France																	"POINT(2.56152 48.67914)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e250032	
97545	"Jarnac, châtellenie"		"Jarnac, châtellenie"	"Jarnacum, castellania"			France					"castellania, châtellenie"												"POINT(-0.17329 45.6816)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e250085	
97548	"Jarrie (La), grand fief"		"Jarrie (La), grand fief"				France					"grand fief"												"POINT(-1.00955 46.12888)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e250115	
97565	"Jérusalem, royaume"		"Jérusalem, royaume"				"Israel|Palestinian Territory, Occupied"					roi												"POINT(35.21879441 31.78847185)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e261666	
97567	"Joie (La), abbaye Notre-Dame (de)"		"Joie (La), abbaye Notre-Dame (de)"	"Nemours, abbaye (de)"			France					"O. Cist., dite le plus souvent abbaye de Nemours"												"POINT(2.68727303 48.2641983)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e262271	
97569	"Sainte-Claire, abbaye (de)"		"Sainte-Claire, abbaye (de)"	"Joie-Notre-Dame (La), abbaye (de)|Joye (La), abbaye (de)"			France					"Joye (abbaye de La), O. Cist."												"POINT(3.00918 49.41514)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e262298|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e262322	
97573	"Joigny, comté"		"Joigny , comté"				France																	"POINT(3.40096 47.98288)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e262392|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e262352|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e262407	
97576	"Jonquières, chapelain et curé"		"Jonquières, chapelain et curé"				France					"chapelain, curé"												"POINT(2.73206 49.38947)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e262500	
97577	"Jonvelle sur la Saône, seigneurie"		"Jonvelle sur la Saône, seigneurie"				France					seigneur												"POINT(5.92084 47.93742)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e262548	
97579	"Auge, archidiaconé"		"Auge, archidiaconé"				France					archidiacres												"POINT(2.32341 46.24211)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e145242	
97584	"Juignac, châtellenie"		"Juignac, châtellenie"	"Jouniacum, castellania"			France					"castellania, châtellenie"												"POINT(0.16407 45.37839)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e262777	
97586	"Joux, seigneurie"		"Joux, seigneurie"				France					seigneur												"POINT(6.38305664 46.87310113)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e263006	
97587	"Jouy, abbaye (de)"		"Jouy, abbaye (de)"				France																	"POINT(3.1921546 48.616403)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e263073	
97590	"Auge, vicomté"		"Auge , vicomté"				France																	"POINT(2.32341 46.24211)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e145263	
97592	"Joyenval, abbaye prémontrée et four royal édifié dans l'ancienne synagogue"		"Joyenval, abbaye prémontrée et four royal édifié dans l'ancienne synagogue"				France					"abbaye prémontré, four royal édifié dans l'ancienne synagogue"												"POINT(2.041 48.90655)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e263196	
97598	"Juliers, comté"		"Juliers, comté"	Juliers			Germany					comtesse												"POINT(6.36267 50.92149)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e263456	
97599	"Jumellière (La), seigneurie"		"Jumellière (La), seigneurie"				France					dame												"POINT(-0.72952 47.27976)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e263472	
97600	"Jumièges, abbaye (de)"		"Jumièges, abbaye (de)"				France																	"POINT(0.82011223 49.43001228)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e263487	
97601	"Augi, homines et habitatores"		"Augi, homines et habitatores"				France					"homines et habitatores"												"POINT(3.61051 47.7664)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e145330	
97605	"Kalamata, archidiaconé"		"Kalamata, archidiaconé"				Greece					archidiacre												"POINT(22.11265 37.03913)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e263602	
97616	"Lacals, territoire"		"Lacals, territoire"				France																	"POINT(3.11086 44.44602)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e264021	
97617	"Lacapelle-Livron, maison du Temple"		"Lacapelle-Livron, maison du Temple"				France					"maison du Temple"												"POINT(1.78375 44.26686)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e264036	
97623	"Agen, trésorerie du roi"		"Agen , trésorerie du roi"				France																	"POINT(0.62055 44.20199)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e133415	
97627	"Ladrancourt, prieuré (de)"		"Ladrancourt, prieuré (de)"				France																	"POINT(2.5542812500000007 49.36111613636365)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e264223	
97628	"Lafage-sur-Sombre, prieuré ou prévôté"		"Lafage-sur-Sombre, prieuré ou prévôté"				France					"prieur ou prévôt"												"POINT(2.07154 45.29568)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e264238	
97629	"Lafauche, seigneurie"		"Lafauche, seigneurie"				France					seigneur												"POINT(5.4999 48.29764)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e264272	
97631	"Lafrançaise, consuls et habitants"		"Lafrançaise, consuls et habitants"				France					"Lafrançaise, consuls et habitants"												"POINT(1.24049 44.1276)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e264385	
97636	"Lagrasse, abbaye Notre-Dame (de)"		"Lagrasse, abbaye Notre-Dame (de)"				France					"abbaye Notre-Dame"												"POINT(2.61942 43.09097)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e264503	
97637	"Laheuguère, seigneurie"		"Laheuguère, seigneurie"				France					dame																				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e264564	
97641	"Lailiet, baronnie"		"Lailiet, baronnie"																													Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e264675	
97652	"Lamarche, château et châtellenie"		"Lamarche, château et châtellenie"				France					"château et châtellenie"												"POINT(5.78141 48.06967)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e265048	
97656	"Lames, seigneurie"		"Lames, seigneurie"				France					"sire, dame et leur homme"												"POINT(3.6861694377510026 48.06579767068272)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e265295	
97665	"Landes, seigneurie"		"Landes, seigneurie"				France					seigneur												"POINT(-0.59652 45.99263)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e265524	
97670	"Langeais, châtellenie"		"Langeais, châtellenie"				France					châtellenie												"POINT(0.40136 47.32587)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e265622	
97671	"Langeais, prévôté"		"Langeais , prévôté"				France																	"POINT(0.40136 47.32587)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e265634	
97676	"Langlée, fief (de)"		"Langlée, fief (de)"				France																	"POINT(2.73587 48.01337)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e265710	
97678	"Langres, chapitre cathédral"		"Langres, chapitre cathédral"				France					chanoines												"POINT(5.33308 47.86263)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e265770	
