"Organisation H-ID"	"Organisation Record Title"	"Short name / acronym"	"Full name of organisation"	"Alternative name(s)"	"Organisation type"	subtype	Country(ies)	"Logo or representative image"	"Logo or representative image ID"	"Logo or representative image Name"	"Logo or representative image Path"	"Short description"	"Start date"	"Start date (temporal)"	"End date"	"End date (temporal)"	Thumbnail	"Thumbnail (temporal)"	Location	"Short description"	"subordinateTo (Organisation) H-ID"	"subordinateTo (Organisation) Record Title"	"Contact details or URL"	"Location (mappable point)"	note	"Related files"	"Related files ID"	"Related files Name"	"Related files Path"	"CartulR Entity ID"	mediumId	indexReference	IndexFontenay
85348	"Périgord et Quercy, sénéchaussée"		"Périgord et Quercy, sénéchaussée"	"Petragoricensis, senescallia"								"senescallus Petragoricensis"																				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e323707|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e323844	
85385	"Peruzzi (société des marchands des)"		"Peruzzi (société des marchands des)"	"Perruche (les)"								"société de lombards"																				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e325170	
85396	"Périgord, comté"		"Périgord, comté"									"senescallia, senescallus)"																				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e325570	
85750	"Poitou, sénéchaussée"		"Poitou, sénéchaussée"	"Pictavensis, senescallia|Pictavensis, semescallia"			France					"senescallia Pictavensis"																				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e336612|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e336562|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e327851	
85779	"Pont-Audemer, archidiaconé"		"Pont-Audemer, archidiaconé"																													Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e338109	
85780	"Maubuisson, abbaye"		"Maubuisson, abbaye"	"Beata Maria juxta Pontizaram"																												Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e338120	
85814	"Saint-Pierre-de-Préaux, abbaye"		"Saint-Pierre-de-Préaux, abbaye"	"Préaux, abbaye"																												Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e340585	
85818	"Prémontré, Ordre"		"Prémontré, Ordre"																													Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e340783	
85829	"Provence, maisons du Temple"		"Provence, maisons du Temple"									"précepteur des maisons du Temple"																				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e341344	
85840	"Puits (La)"		"Puits (La)"																													Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e342254	
85842	"Puits (Le)"		"Puits (Le)"																													Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e342282	
86002	"Royallieu-lès-Compiègne, prieuré"		"Royallieu-lès-Compiègne, prieuré"	"Regalis Locus"																												Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e347206	
86041	"Beaucaire, sénéchaussée"		"Beaucaire, sénéchaussée"	"Bellicadri, senescallia"								senescallus)																				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e155124	
86077	"Richmond, comté"		"Richmond, comté"	"Richemont, comté"			"United Kingdom"																									Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e349540|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e349570	
86210	"Rochefort-en-Terre, seigneurie"		"Rochefort-en-Terre, seigneurie"	"Rochefort, seigneurie"								sire																				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e352754	
86252	"Romains, roi et reine"		"Romains, roi et reine"									reine																				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e354183	
86255	"Rome, Saint-Siège (le)"		"Rome, Saint-Siège (le)"	"Rome, Curie|Rome, Cour"																												Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e354316	
86318	"Rouergue, sénéchaussée"		"Rouergue, sénéchaussée"	"Ruthenensis, senescallia"			France					senescallus)																				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e358667|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e356508|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e356658|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e356439|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e356536|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e356604|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e356625|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e356670|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e356698	
86346	"Bayeux, léproserie Sainte-Catherine (près de)"		"Bayeux, léproserie Sainte-Catherine (près de)"	Sainte-Catherine																												Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e360733	
86362	"Saint-Hilaire-le-Grand, foire"		"Saint-Hilaire-le-Grand, foire"	"Sanctus Hilerius le Meniessier"								"villa et castrum Sancti Hilerii le Meniessier, foire"																				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e362498	
86366	"Saint-Jean-aux-Bois, abbaye"		"Saint-Jean-aux-Bois, abbaye"	Saint-Jean-de-Compiègne																												Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e363008	
86384	"Saintonge, sénéchaussée"		"Saintonge, sénéchaussée"	"Xanctonensis, senescallia"								"senescallia Xanctonensis"																				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e364777|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e364693|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e396678	
86396	"Sens, abbaye Saint-Rémi"		"Sens, abbaye Saint-Rémi"																													Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e366527	
86399	"Rome, Saint-Siège (le)"		"Rome, Saint-Siège (le)"	"Rome, Curie|Rome, Cour|Saint-Siège (le)"																												Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e366909	
86402	"Château-Porcien, prieuré de Saint-Thiébault"		"Château-Porcien, prieuré de Saint-Thiébault"	Saint-Thiébault																												Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e367127	
86629	"Soissons, diocèse"		"Soissons, diocèse"	Suessionensis								episcopus)																				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e376597	
86657	"Paris, Temple (le)"		"Paris, Temple (le)"	"Temple (le)"								"à ou près de Paris"																				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e377636	
86668	"Thérouanne, Cour"		"Thérouanne, Cour"									"notaire de la Cour"																				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e378247	
86760	"Toulouse et Albi, sénéchaussée"		"Toulouse et Albi, sénéchaussée"	"Tholose, senescallia"								"senescallus Tholose"																				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e382362|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e382469	
86762	"Toulouse et Bigorre, sénéchaussée"		"Toulouse et Bigorre, sénéchaussée"																													Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e382772	
86813	"Val (Le)"		"Val (Le)"																													Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e386508	
86825	"Valois, comté"		"Valois, comté"	Valesii																												Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e386912	
86934	"Viarmes, seigneurie"		"Viarmes, seigneurie"	Virmis|Wirmes																												Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e394995	
86968	"Viarmes, seigneurie"		"Viarmes, seigneurie"	Virmis|Wirmes																												Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e396588	
87098	"Bois (Le)"		"Bois (Le)"																													Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e162349	
87108	"Boulogne, comté"		"Boulogne, comté"	Bolonie																												Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e163117	
87153	Bordes		Bordes																													Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e164473	
87155	"Agonnay (les)"		"Agonnay (les)"																													Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e134005	
87214	"Bouville, seigneurie"		"Bouville, seigneurie"	Bovilla																												Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e167854	
87220	Brandes		Brandes																													Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e168170	
87243	"Brienne-le-Château, archidiaconé"		"Brienne-le-Château, archidiaconé"	Briennensis																												Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e170123	
87261	Brugeois		Brugeois																													Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e170900	
87274	"Brie, archidiaconé"		"Brie, archidiaconé"	Brye																												Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e171325	
87352	"Chartres, vicomté"		"Chartres, vicomté"	Carnoto																												Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e176771	
87372	"Château-Renaud, châtellenie"		"Château-Renaud, châtellenie"	"Castellum Reginaldi, castellania"								"castellania, châtellenie"																				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e177336	
87381	"Châlons-sur-Marne, église cathédrale, archidiaconé"		"Châlons-sur-Marne, église cathédrale, archidiaconé"	Chalons|Cathalaunensis																												Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e177880	
87409	"Celle (La), seigneurie"		"Celle (La), seigneurie"	Cella								"Hugo, per dominum de)"																				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e179070	
