"Place H-ID"	"Place Record Title"	"Place name"	"Additional (equivalent) names"	"Name chosen"	"Place type"	Country	"Code insee"	Department	Arrondissement	Canton	Town	"Municipality (record pointer) (Place) H-ID"	"Municipality (record pointer) (Place) Record Title"	County	Province	"Location (mappable)"	"Locational certainty"	"Index Reference"	Note	"GeoNames ID"	"DicoTopo ID"	"WikiData ID"	indexReference	IndexFontenay
99876	"Poissy, — four de l'abbaye de Joyenval (Seine-et-Oise, Versailles)"	"Poissy , — four de l'abbaye de Joyenval"		Poissy		France	78498	Seine-et-Oise	Versailles							"POINT(2.04952 48.92902)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e335797		2986501			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e335797	
99878	"Poissy, — grenetier, grenier (Seine-et-Oise, Versailles)"	"Poissy , — grenetier, grenier"		Poissy		France	78498	Seine-et-Oise	Versailles							"POINT(2.04952 48.92902)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e335822		2986501			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e335822	
99879	"Bazadais (Gironde, Langon)"	Bazadais		Bazadais		France		Gironde	Langon							"POINT(-0.211667 44.431944)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e151440	"pays de Bazas, Gironde, ar. Langon"			Q2892380	Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e151440	
99883	"Poissy, — murs (Seine-et-Oise, Versailles)"	"Poissy , — murs"		Poissy		France	78498	Seine-et-Oise	Versailles							"POINT(2.04952 48.92902)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e335876		2986501			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e335876	
99888	"Poissy, — revenus (Seine-et-Oise, Versailles)"	"Poissy , — revenus"		Poissy		France	78498	Seine-et-Oise	Versailles							"POINT(2.04952 48.92902)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e335937		2986501			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e335937	
99891	"Poissy, — voiture (la) (Seine-et-Oise, Versailles)"	"Poissy , —  voiture (la)"		Poissy		France	78498	Seine-et-Oise	Versailles							"POINT(2.04952 48.92902)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e335964		2986501			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e335964	
99892	"Poitevine (La) (Seine-et-Oise, Palaiseau)"	"Poitevine (La)"	"Grange-Poitevin (La)"	Villejust		France	91666	Seine-et-Oise		Palaiseau		102027	"Villejust (Seine-et-Oise, Palaiseau)"			"POINT(2.2361 48.68304)"			"La Poitevine, Seine-et-Oise, con Palaiseau, cne Villejust"	2968704			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e336021|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e228919	
99893	"Poitiers (Vienne)"	Poitiers	Pictavis	Poitiers		France	86194	Vienne								"POINT(0.34348 46.58261)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e336032	Vienne	2986495			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e336032|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e327862	
99897	"Poitiers, — cité (Vienne)"	"Poitiers , — cité"		Poitiers		France	86194	Vienne								"POINT(0.34348 46.58261)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e336349		2986495			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e336349	
99903	"Poitiers, — Douve-le-Roi (le) (Vienne)"	"Poitiers , — Douve-le-Roi (le)"		Poitiers		France	86194	Vienne								"POINT(0.34348 46.58261)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e336410		2986495			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e336410	
99908	"Poitiers, — Salle (la) (Vienne)"	"Poitiers , — Salle (la)"		Poitiers		France	86194	Vienne								"POINT(0.34348 46.58261)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e336482		2986495			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e336482	
99911	"Poix (Somme, Amiens)"	Poix		Poix		France	80630	Somme	Amiens							"POINT(1.98333 49.78333)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e336782	"Somme, ar. Amiens"	2986486			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e336782	
99912	"Bazas (Gironde, Langon)"	Bazas		Bazas		France	33036	Gironde	Langon							"POINT(-0.21337 44.43161)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e151488	"Gironde, ar. Langon"	3034458			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e151488	
99914	"Poligny (Jura, Lons-le-Saunier)"	Poligny		Poligny		France	39434	Jura	Lons-le-Saunier							"POINT(5.70505 46.83712)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e336842	"Jura, ar. Lons-le-Saunier"	2986467			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e336842	
99915	"Poiverières (Gard, Nîmes)"	Poiverières		Bouillargues		France	30047	Gard		Nîmes						"POINT(4.42753 43.80013)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e336868	"Gard, con Nîmes, cne Bouillargues"	3031240			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e336868	
99916	"Pomayrols (Aveyron, Saint-Geniez-d'Olt)"	Pomayrols		Pomayrols		France	12184	Aveyron		Saint-Geniez-d'Olt						"POINT(3.02482 44.47137)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e336883	"Aveyron, con Saint-Geniez-d'Olt"	2986440			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e336883	
99917	"Pommereux (Oise, Chaumont)"	Pommereux		Pommereux		France	60097	Oise		Chaumont						"POINT(1.871751882352941 49.32269235294116)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e336899	"Oise, con Chaumont, cne Boutencourt"		P14513596		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e336899	
99918	"Pommereux (Seine-Maritime, Forges-les-Eaux)"	Pommereux		Pommereux		France	76505	Seine-Maritime		Forges-les-Eaux						"POINT(1.6241 49.60072)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e336914	"Seine-Maritime, con Forges-les-Eaux"	2986415			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e336914	
99919	"Pommeuse (Seine-et-Marne, Coulommiers)"	Pommeuse	Pommeuse-lès-Faremoutiers-en-Brie	Pommeuse		France	77371	Seine-et-Marne		Coulommiers						"POINT(3.01667 48.81667)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e336929	"Seine-et-Marne, con Coulommiers"	2986408			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e336929	
99920	"Pommiers (Aisne, Soissons, Soissons)"	Pommiers		Pommiers		France	02610	Aisne	Soissons	Soissons						"POINT(3.27297 49.3931)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e336959	"Aisne, ar. et con Soissons"	2986393			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e336959	
99922	"Pomponne (Seine-et-Marne, Lagny)"	Pomponne		Pomponne		France	77372	Seine-et-Marne		Lagny						"POINT(2.68232 48.8813)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337021	"Seine-et-Marne, con Lagny"	2986370			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337021	
99925	"Pondeu (mas de) (Haute-Vienne)"	"Pondeu (mas de)"		"Pondeu (mas de)"		France		Haute-Vienne										Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337068	"Haute-Vienne, région de Saint-Léonard-de-Noblat"				Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337068	
99926	"Pondres (Gard, Sommières)"	Pondres		Pondres		France	30352	Gard		Sommières						"POINT(4.103733904109592 43.79218486301372)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337083	"Gard, con Sommières, cne Villevieille"		P83764756		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337083	
99927	"Pons (Charente-Maritime, Saintes)"	Pons		Pons		France	17283	Charente-Maritime	Saintes							"POINT(-0.54813 45.58015)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337098	"Charente-Maritime, ar. Saintes"	2986335			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337098	
99928	"Pons, — clerc (Charente-Maritime, Saintes)"	"Pons , — clerc"		Pons		France	17283	Charente-Maritime	Saintes							"POINT(-0.54813 45.58015)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337110		2986335			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e337110	
