"Person H-ID"	"Person Record Title"	"Family name"	"Given name(s)"	"Alternate name(s) / title(s)"	Gender	"Short description"	"link with organisation (Record relationship) H-ID"	"Relationship type"	"link with organisation (Record relationship) Record Title"	"link with organisation H-ID"	"Organisation Record Title"	"link with organisation Record Title"	"link with person (Record relationship) H-ID"	"Relationship type"	"link with person (Record relationship) Record Title"	"link with person H-ID"	"link with person Record Title"	"link_to_place (Record relationship) H-ID"	"Relationship type"	"link_to_place (Record relationship) Record Title"	"link_to_place H-ID"	"Place Record Title"	"link_to_place Record Title"	"link with subject (Record relationship) H-ID"	"Title for relationship"	"Short description"	"Relationship type"	"Interpretation / commentary >"	"Interpretation / commentary > Record Title"	"link with subject (Record relationship) Record Title"	"link with subject H-ID"	"Subject Record Title"	"link with subject Record Title"	"link with act (Record relationship) H-ID"	"Title for relationship"	"Short description"	"Relationship type"	"Interpretation / commentary >"	"Interpretation / commentary > Record Title"	"link with act (Record relationship) Record Title"	"link with act H-ID"	"link with act Record Title"	Note	"Index reference"	"CartulR Entity ID"	IndexFontenay	"date from"	"date from (temporal)"	"date to"	"date to (temporal)"
82975	"Adam de Nanteuil-le-Haudouin"	"Adam de Nanteuil-le-Haudouin"				écuyer												102985	"a pour surnom"	"Adam de Nanteuil-le-Haudouin | a pour surnom - > Nanteuil-le-Haudouin (Oise, Senlis)"	98899	"Nanteuil-le-Haudouin (Oise, Senlis)"	"Nanteuil-le-Haudouin (Oise, Senlis)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e132768						
82976	"Pierre Angelric"	"Pierre Angelric"																																										Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e139108						
82977	"Guillaume de Chaudenay"	"Guillaume de Chaudenay"				"chevalier, bailli de Vitry-en-Perthois, commissaire aux franchises dans ce bailliage"	329409|330314	"est commissaire aux franchises de|est bailli de"	"Guillaume de Chaudenay | est commissaire aux franchises de - > Vitry-en-Perthois, bailliage|Guillaume de Chaudenay | est bailli de - > Vitry-en-Perthois, bailliage"	102114|102114	"Vitry-en-Perthois, bailliage|Vitry-en-Perthois, bailliage"	"Vitry-en-Perthois, bailliage|Vitry-en-Perthois, bailliage"						104348	"a pour surnom"	"Guillaume de Chaudenay | a pour surnom - > Chaudenay (Haute-Marne, Langres, Chalindrey)"	81691	"Chaudenay (Haute-Marne, Langres, Chalindrey)"	"Chaudenay (Haute-Marne, Langres, Chalindrey)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e234543						
82978	"Guillaume de Chauvigny"	"Guillaume de Chauvigny"				"seigneur de Châteauroux, chevalier du roi"	321797|330169	"est seigneur / dame de|est sire / seigneur / dame de"	"Guillaume de Chauvigny | est seigneur / dame de - > Châteauroux, seigneurie|Guillaume de Chauvigny | est sire / seigneur / dame de - > Châteauroux, seigneurie"	95864|95864	"Châteauroux, seigneurie|Châteauroux, seigneurie"	"Châteauroux, seigneurie|Châteauroux, seigneurie"						104351	"a pour surnom"	"Guillaume de Chauvigny | a pour surnom - > Chauvigny (Vienne, Poitiers)"	81701	"Chauvigny (Vienne, Poitiers)"	"Chauvigny (Vienne, Poitiers)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e234570						
82979	"Guillaume de Chenou (Me)"	"Guillaume de Chenou (Me)"				"clerc du roi, enquêteur-réformateur"												104358	"a pour surnom"	"Guillaume de Chenou (Me) | a pour surnom - > Chenou (Seine-et-Marne, Fontainebleau, Nemours)"	81710	"Chenou (Seine-et-Marne, Fontainebleau, Nemours)"	"Chenou (Seine-et-Marne, Fontainebleau, Nemours)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e234588						
82980	"Guillaume de Chinon"	"Guillaume de Chinon"				"garde des châteaux du comté de Rethel"												102633	"a pour surnom"	"Guillaume de Chinon | a pour surnom - > Chinon (Indre-et-Loire)"	95986	"Chinon (Indre-et-Loire)"	"Chinon (Indre-et-Loire)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e234603						
82981	"Guillaume de Clagny (dame)"	"Guillaume de Clagny (dame)"																326462	"est le surnom de"	"Clagny | est le surnom de - > Guillaume de Clagny (dame)"																								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e234622						
82982	"Guillaume de Cléville"	"Guillaume de Cléville"																104384	"a pour surnom"	"Guillaume de Cléville | a pour surnom - > Cléville"	81766	Cléville	Cléville																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e234637						
82983	"Guillaume de Cohardon"	"Guillaume de Cohardon"				"sénéchal de Carcassonne"	321414|331273	"est sénéchal de|est sénéchal de"	"Guillaume de Cohardon | est sénéchal de - > Carcassonne et Béziers, sénéchaussée|Guillaume de Cohardon | est sénéchal de - > Carcassonne, sénéchaussée"	95477|95470	"Carcassonne et Béziers, sénéchaussée|Carcassonne, sénéchaussée"	"Carcassonne et Béziers, sénéchaussée|Carcassonne, sénéchaussée"						104390	"a pour surnom"	"Guillaume de Cohardon | a pour surnom - > Cohardon (Sarthe, Mamers, Sillé-le-Guillaume)"	81779	"Cohardon (Sarthe, Mamers, Sillé-le-Guillaume)"	"Cohardon (Sarthe, Mamers, Sillé-le-Guillaume)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e234653						
82984	"Guillaume de Combray"	"Guillaume de Combray"				"dit aussi de Bonsentier, écuyer"												102530	"a pour surnom"	"Guillaume de Combray | a pour surnom - > Bonsentier (Manche, Barenton)"	102439	"Bonsentier (Manche, Barenton)"	"Bonsentier (Manche, Barenton)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e234668						
82985	"Guillaume de Combreux"	"Guillaume de Combreux"				"baile d'Agen"	319346|331097	"est baile de|est baile de"	"Guillaume de Combreux | est baile de - > Agen, bailie|Guillaume de Combreux | est baile de - > Agen, bailie"	96734|96734	"Agen, bailie|Agen, bailie"	"Agen, bailie|Agen, bailie"						104393	"a pour surnom"	"Guillaume de Combreux | a pour surnom - > Combreux (Seine-et-Marne, Torcy, Ozoir-la-Ferrière)"	81800	"Combreux (Seine-et-Marne, Torcy, Ozoir-la-Ferrière)"	"Combreux (Seine-et-Marne, Torcy, Ozoir-la-Ferrière)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e234695						
82986	"Guillaume de Corre"	"Guillaume de Corre"				"ses héritiers"												104416	"a pour surnom"	"Guillaume de Corre | a pour surnom - > Corre (Haute-Saône, Vesoul, Jussey)"	81837	"Corre (Haute-Saône, Vesoul, Jussey)"	"Corre (Haute-Saône, Vesoul, Jussey)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e234710						
82988	"Guillaume de Coucy"	"Guillaume de Coucy"				"sire de Marle et d'Oisy"	330300|330327	"est sire / seigneur / dame de|est sire / seigneur / dame de"	"Guillaume de Coucy | est sire / seigneur / dame de - > Marle, seigneurie|Guillaume de Coucy | est sire / seigneur / dame de - > Oisy, seigneurie"	98242|99185	"Marle, seigneurie|Oisy, seigneurie"	"Marle, seigneurie|Oisy, seigneurie"						104424	"a pour surnom"	"Guillaume de Coucy | a pour surnom - > Coucy (Aisne, Coucy-le-Château-Auffrique)"	81846	"Coucy (Aisne, Coucy-le-Château-Auffrique)"	"Coucy (Aisne, Coucy-le-Château-Auffrique)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e234725						
82989	"Guillaume de Courbetin"	"Guillaume de Courbetin"																104428	"a pour surnom"	"Guillaume de Courbetin | a pour surnom - > Courbetin (Aisne, Château-Thierry, Essômes-sur-Marne)"	81855	"Courbetin (Aisne, Château-Thierry, Essômes-sur-Marne)"	"Courbetin (Aisne, Château-Thierry, Essômes-sur-Marne)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e234740						
82990	"Guillaume de Courcy"	"Guillaume de Courcy"				"chevalier du roi"												104432	"a pour surnom"	"Guillaume de Courcy | a pour surnom - > Courcy (Loiret, Pithiviers, Malesherbois (Le))"	81858	"Courcy (Loiret, Pithiviers, Malesherbois (Le))"	"Courcy (Loiret, Pithiviers, Malesherbois (Le))"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e234756						
82991	"Guillaume de Croisset (frère)"	"Guillaume de Croisset (frère)"				"chapelain du château de Rouen, garde du sceau des obligations de la vicomté de Rouen"	329696	"est garde de"	"Guillaume de Croisset (frère) | est garde de - > Rouen, Vicomté"	100477	"Rouen, Vicomté"	"Rouen, Vicomté"						104447	"a pour surnom"	"Guillaume de Croisset (frère) | a pour surnom - > Croisset (Seine-Maritime, Rouen, Canteleu)"	81886	"Croisset (Seine-Maritime, Rouen, Canteleu)"	"Croisset (Seine-Maritime, Rouen, Canteleu)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e234771						
82992	"Guillaume de Cuignières"	"Guillaume de Cuignières"				chevalier												104453	"a pour surnom"	"Guillaume de Cuignières | a pour surnom - > Cuignières (Oise, Clermont, Saint-Just-en-Chaussée)"	81893	"Cuignières (Oise, Clermont, Saint-Just-en-Chaussée)"	"Cuignières (Oise, Clermont, Saint-Just-en-Chaussée)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e234789						
82993	"Guillaume de Cussac"	"Guillaume de Cussac"				"chanoine de Clermont"	321963|331107	"est chanoine de|est chanoine de"	"Guillaume de Cussac | est chanoine de - > Clermont, église cathédrale, chapitre|Guillaume de Cussac | est chanoine de - > Clermont, église cathédrale, chapitre"	96038|96038	"Clermont, église cathédrale, chapitre|Clermont, église cathédrale, chapitre"	"Clermont, église cathédrale, chapitre|Clermont, église cathédrale, chapitre"						104455	"a pour surnom"	"Guillaume de Cussac | a pour surnom - > Cussac (Cantal, Pleaux)"	81894	"Cussac (Cantal, Pleaux)"	"Cussac (Cantal, Pleaux)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e234810						
82994	"Guillaume de Dicy"	"Guillaume de Dicy"				"ses enfants"												104469	"a pour surnom"	"Guillaume de Dicy | a pour surnom - > Dicy (Yonne, Auxerre, Charny)"	81944	"Dicy (Yonne, Auxerre, Charny)"	"Dicy (Yonne, Auxerre, Charny)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e234825						
82995	"Guillaume de Dicy"	"Guillaume de Dicy"				"prévôt de Sens"	331182	"est prévôt de"	"Guillaume de Dicy | est prévôt de - > Sens, prévôté"	101207	"Sens, prévôté"	"Sens, prévôté"																																Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e234840						
82996	"Guillaume de Dol (Me)"	"Guillaume de Dol (Me)"		"Guillelmus de Dolis (magister)"		"Dolis, magister Guillelmus Dolis, clerc du roi"												322515	"a pour surnom"	"Guillaume de Dol (Me) | a pour surnom - > Dol (Ille-et-Vilaine, Saint-Malo)"	96496	"Dol (Ille-et-Vilaine, Saint-Malo)"	"Dol (Ille-et-Vilaine, Saint-Malo)"																				de	Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e234856						
82997	"Guillaume de Fécamp"	"Guillaume de Fécamp"				"fondateur de l'abbaye de Beaubec"	329683	"est fondateur / fondatrice de"	"Guillaume de Fécamp | est fondateur / fondatrice de - > Beaubec-l’Abbaye, abbaye O.S.B."	100034	"Beaubec-l’Abbaye, abbaye O.S.B."	"Beaubec-l’Abbaye, abbaye O.S.B."						102721	"a pour surnom"	"Guillaume de Fécamp | a pour surnom - > Fécamp (Seine-Maritime, Havre (Le))"	317502	"Fécamp (Seine-Maritime, Havre (Le))"	"Fécamp (Seine-Maritime, Havre (Le))"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e234946						
82998	"Anglésia de Montégut"	"Anglésia de Montégut"				"veuve de Thibaud de Lévis"												325976	"a pour surnom"	"Anglésia de Montégut | a pour surnom - > Montégut (Ariège, Saint-Girons, Saint-Girons)"	325975	"Montégut (Ariège, Saint-Girons, Saint-Girons)"	"Montégut (Ariège, Saint-Girons, Saint-Girons)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e139316						
82999	"Guillaume Ier de Flandre"	"Guillaume Ier de Flandre"				"seigneur de Termonde et de Nesle, chevalier"	330324	"est sire / seigneur / dame de"	"Guillaume Ier de Flandre | est sire / seigneur / dame de - > Nesle, seigneurie"	98991	"Nesle, seigneurie"	"Nesle, seigneurie"						102738	"a pour surnom"	"Guillaume Ier de Flandre | a pour surnom - > Flandre"	96836	Flandre	Flandre																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e234961						
83000	"Guillaume II de Flandre"	"Guillaume II de Flandre"				"fils d'Alice de Clermont"																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e234985						
83001	"Guillaume de Flavacourt"	"Guillaume de Flavacourt"				"chevalier du Roi"												102744	"a pour surnom"	"Guillaume de Flavacourt | a pour surnom - > Flavacourt (Oise, Coudray-Saint-Germer (Le))"	96856	"Flavacourt (Oise, Coudray-Saint-Germer (Le))"	"Flavacourt (Oise, Coudray-Saint-Germer (Le))"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235006						
83002	"Guillaume de Forêt"	"Guillaume de Forêt"				"chevalier du Roi"												104581	"a pour surnom"	"Guillaume de Forêt | a pour surnom - > Forêt (Eure, Andelys (Les), Andelys (Les))"	82328	"Forêt (Eure, Andelys (Les), Andelys (Les))"	"Forêt (Eure, Andelys (Les), Andelys (Les))"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235042						
83003	Guillaume	Guillaume				"Guillot de Franconville, veneur du roi"																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235058						
83004	"Guillaume de Gand"	"Guillaume de Gand"				chevalier																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235076						
83005	"Guillaume de Gilly (Me)"	"Guillaume de Gilly (Me)"				"magister Guillelmus de Gilli, clerc du roi"	324044	"est chanoine de"	"Guillaume de Gilly (Me) | est chanoine de - > Langres, chapitre cathédral"	97678	"Langres, chapitre cathédral"	"Langres, chapitre cathédral"						323397	"a pour surnom"	"Guillaume de Gilly (Me) | a pour surnom - > Gilly (Côte-d'Or, Beaune, Nuits-Saint-Georges)"	82671	"Gilly (Côte-d'Or, Beaune, Nuits-Saint-Georges)"	"Gilly (Côte-d'Or, Beaune, Nuits-Saint-Georges)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235091						
83006	"Guillaume de Gisors (Me)"	"Guillaume de Gisors (Me)"		"Guillelmus de Gisorcio (magister)"		"magister Guillelmus de Gisorcio, archidiacre d'Auge, clerc du roi"	319526|329915	"est archidiacre de|est archidiacre de"	"Guillaume de Gisors (Me) | est archidiacre de - > Auge, archidiaconé|Guillaume de Gisors (Me) | est archidiacre de - > Auge, archidiaconé"	97579|97579	"Auge, archidiaconé|Auge, archidiaconé"	"Auge, archidiaconé|Auge, archidiaconé"						102772	"a pour surnom"	"Guillaume de Gisors (Me) | a pour surnom - > Gisors (Eure, Les Andelys)"	97184	"Gisors (Eure, Les Andelys)"	"Gisors (Eure, Les Andelys)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235125						
83007	"Guillaume de Gournay"	"Guillaume de Gournay"				"sergent de la sergenterie de Cambremer, puis sergent fieffé de la sergenterie de Duclair"	321282|329976	"est sergent de|est sergent de"	"Guillaume de Gournay | est sergent de - > Cambremer, sergenterie|Guillaume de Gournay | est sergent de - > Cambremer, sergenterie"	95366|95366	"Cambremer, sergenterie|Cambremer, sergenterie"	"Cambremer, sergenterie|Cambremer, sergenterie"																																Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235152						
83008	"Guillaume de Goussainville"	"Guillaume de Goussainville"				"sa veuve"												104684	"a pour surnom"	"Guillaume de Goussainville | a pour surnom - > Goussainville (Val-d'Oise, Sarcelles)"	82722	"Goussainville (Val-d'Oise, Sarcelles)"	"Goussainville (Val-d'Oise, Sarcelles)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235170						
83010	"Guillaume de Grenouille"	"Guillaume de Grenouille"				"garde de la prévôté de Sens"	329685	"est garde de"	"Guillaume de Grenouille | est garde de - > Sens, prévôté"	101207	"Sens, prévôté"	"Sens, prévôté"																																Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235186						
83011	"Guillaume de Hangest"	"Guillaume de Hangest"		"Guillelmus de Hangesto"		"l'aîné ou le vieux, trésorier du roi"												104781|326490	"a pour surnom|est le surnom de"	"Guillaume de Hangest | a pour surnom - > Hangest (Somme, Moreuil)|Hangest | est le surnom de - > Guillaume de Hangest"	83185	"Hangest (Somme, Moreuil)"	"Hangest (Somme, Moreuil)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235201						
83012	"Guillaume de Hangest"	"Guillaume de Hangest"				"le jeune, Guillelmus de Hangesto junior"																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235231						
83013	"Guillaume de Hommez"	"Guillaume de Hommez"																102800	"a pour surnom"	"Guillaume de Hommez | a pour surnom - > Hommez"	97464	Hommez	Hommez																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235353						
83014	"Guillaume de Joye"	"Guillaume de Joye"				"prêtre, chapelain dans l'église Notre-Dame de Loches"	329380	"est chapelain de"	"Guillaume de Joye | est chapelain de - > Loches, église Notre-Dame, chapellenie"	324251	"Loches, église Notre-Dame, chapellenie"	"Loches, église Notre-Dame, chapellenie"						104974	"a pour surnom"	"Guillaume de Joye | a pour surnom - > Joye"	84177	Joye	Joye																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235368						
83015	"Guillaume de La Boissière"	"Guillaume de La Boissière"				écuyer												320780	"a pour surnom"	"Guillaume de La Boissière | a pour surnom - > Boissière (La) (Loir-et-Cher, Blois)"	87104	"Boissière (La) (Loir-et-Cher, Blois)"	"Boissière (La) (Loir-et-Cher, Blois)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235383						
83016	"Guiliaume de La Chassaigne"	"Guiliaume de La Chassaigne"				damoiseau												321758	"a pour surnom"	"Guiliaume de La Chassaigne | a pour surnom - > Chassaigne (La) (Puy-de-Dôme, Thiers, Thiers)"	81670	"Chassaigne (La) (Puy-de-Dôme, Thiers, Thiers)"	"Chassaigne (La) (Puy-de-Dôme, Thiers, Thiers)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235399						
83017	"Guillaume de La Fontaine (frère)"	"Guillaume de La Fontaine (frère)"																326484	"est le surnom de"	"Fontaine (La) | est le surnom de - > Guillaume de La Fontaine (frère)"																								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235414						
83018	"Guillaume de la Geôle"	"Guillaume de la Geôle"																326487	"est le surnom de"	"Geôle (La) | est le surnom de - > Guillaume de la Geôle"																								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235429						
83019	"Guillaume de La Grange"	"Guillaume de La Grange"				écuyer												104697	"a pour surnom"	"Guillaume de La Grange | a pour surnom - > Grange (La) (Seine-et-Marne, Rozay-en-Brie)"	82739	"Grange (La) (Seine-et-Marne, Rozay-en-Brie)"	"Grange (La) (Seine-et-Marne, Rozay-en-Brie)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235444						
83021	"Guillaume de Laigue"	"Guillaume de Laigue"				"sergent d'armes du roi"												104991	"a pour surnom"	"Guillaume de Laigue | a pour surnom - > Laigue (Indre, Argenton-sur-Creuse)"	84224	"Laigue (Indre, Argenton-sur-Creuse)"	"Laigue (Indre, Argenton-sur-Creuse)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235459						
83022	"Guillaume de Laire"	"Guillaume de Laire"				"procureur du roi en Auvergne"												326499	"est le surnom de"	"Laire | est le surnom de - > Guillaume de Laire"																								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235474						
83023	"Guillaume de La Norville"	"Guillaume de La Norville"				"chevalier du roi"												103012	"a pour surnom"	"Guillaume de La Norville | a pour surnom - > Norville (La) (Seine-et-Oise, Arpajon)"	99121	"Norville (La) (Seine-et-Oise, Arpajon)"	"Norville (La) (Seine-et-Oise, Arpajon)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235505						
83024	"Guillaume de La Périne"	"Guillaume de La Périne"				damoiseau												103635	"a pour surnom"	"Guillaume de La Périne | a pour surnom - > Périne (La) (Nièvre)"	85350	"Périne (La) (Nièvre)"	"Périne (La) (Nièvre)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235520						
83025	"Guillaume de La Rivière"	"Guillaume de La Rivière"				"bailli d'Auvergne"	319552|330092	"est bailli de|est bailli de"	"Guillaume de La Rivière | est bailli de - > Auvergne, bailliage|Guillaume de La Rivière | est bailli de - > Auvergne, bailliage"	98056|98056	"Auvergne, bailliage|Auvergne, bailliage"	"Auvergne, bailliage|Auvergne, bailliage"						326390	"est le surnom de"	"Rivière (La) | est le surnom de - > Guillaume de La Rivière"																								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235535						
83026	"Guillaume de La Tour"	"Guillaume de La Tour"				"archidiacre de Périgueux"	329781	"est archidiacre de"	"Guillaume de La Tour | est archidiacre de - > Périgueux, archidiaconé"	99727	"Périgueux, archidiaconé"	"Périgueux, archidiaconé"																																Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235550						
83027	"Guillaume de Launoy"	"Guillaume de Launoy"				"sergent à verge du Châtelet de Paris"	329963	"est sergent à verge de"	"Guillaume de Launoy | est sergent à verge de - > Châtelet de Paris"	281959	"Châtelet de Paris"	"Châtelet de Paris"																																Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235568						
83028	"Guillaume de Laurens"	"Guillaume de Laurens"				"valet de Raoul de Vichy"																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235583						
83029	"Guillaume de Locis ou Logis? (Me)"	"Guillaume de Locis ou Logis? (Me)"				légiste																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235599						
83030	"Guillaume de Loupsault"	"Guillaume de Loupsault"				"bourgeois de Saint-Jean-d'Angély"												105083|328746	"a pour surnom|est bourgeois / bourgeoise / habitant / habitante de"	"Guillaume de Loupsault | a pour surnom - > Loupsault|Guillaume de Loupsault | est bourgeois / bourgeoise / habitant / habitante de - > Saint-Jean-d'Angély (Charente-Maritime)"	84595|100772	"Loupsault|Saint-Jean-d'Angély (Charente-Maritime)"	"Loupsault|Saint-Jean-d'Angély (Charente-Maritime)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235614						
83032	"Guillaume de Machau"	"Guillaume de Machau"				"valet de chambre du roi"												105097	"a pour surnom"	"Guillaume de Machau | a pour surnom - > Machau (Loiret, Montargis, Montargis)"	84624	"Machau (Loiret, Montargis, Montargis)"	"Machau (Loiret, Montargis, Montargis)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235641						
83033	"Guillaume de Machault"	"Guillaume de Machault"				"garde du scel de la prévôté de Melun"	329741	"est garde du scel de"	"Guillaume de Machault | est garde du scel de - > Melun, prévôté"	98367	"Melun, prévôté"	"Melun, prévôté"																																Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235665						
83034	"Guillaume de Manchecourt"	"Guillaume de Manchecourt"				chevalier												103350	"a pour surnom"	"Guillaume de Manchecourt | a pour surnom - > Manchecourt (Loiret)"	84682	"Manchecourt (Loiret)"	"Manchecourt (Loiret)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235680						
83035	"Guillaume de Mantes"	"Guillaume de Mantes"				"chanoine de Bourges, commissaire aux nouveaux acquêts"	320884|331159	"est chanoine de|est chanoine de"	"Guillaume de Mantes | est chanoine de - > Bourges, église cathédrale|Guillaume de Mantes | est chanoine de - > Bourges, église cathédrale, doyen et chapitre"	95050|95053	"Bourges, église cathédrale|Bourges, église cathédrale, doyen et chapitre"	"Bourges, église cathédrale|Bourges, église cathédrale, doyen et chapitre"						102886	"a pour surnom"	"Guillaume de Mantes | a pour surnom - > Mantes (Seine-et-Oise)"	98185	"Mantes (Seine-et-Oise)"	"Mantes (Seine-et-Oise)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235695						
83036	"Guillaume de Marcilly"	"Guillaume de Marcilly"		"Guillelmus de Marcilliaco|G. de Marcilliaco"		"Guillelmus de Marcilliaco, seigneur d'Athis, chevalier du roi"	319512|321411|330079	"est seigneur / dame de|est sénéchal de|est sire / seigneur / dame de"	"Guillaume de Marcilly | est seigneur / dame de - > Athis, seigneurie|Guillaume de Marcilly | est sénéchal de - > Carcassonne et Béziers, sénéchaussée|Guillaume de Marcilly | est sire / seigneur / dame de - > Athis, seigneurie"	97390|95477|97390	"Athis, seigneurie|Carcassonne et Béziers, sénéchaussée|Athis, seigneurie"	"Athis, seigneurie|Carcassonne et Béziers, sénéchaussée|Athis, seigneurie"						103357	"a pour surnom"	"Guillaume de Marcilly | a pour surnom - > Marcilly"	84699	Marcilly	Marcilly																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235711						
83037	"Guillaume de Matha"	"Guillaume de Matha"				chevalier																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235938						
83038	"Guillaume de Matha"	"Guillaume de Matha"				"sire de lais et clerc du roi, commissaire d'Hugues de La Celle à La Rochelle"												103396	"a pour surnom"	"Guillaume de Matha | a pour surnom - > Matha (Charente-Maritime)"	84856	"Matha (Charente-Maritime)"	"Matha (Charente-Maritime)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235953						
83039	"Guillaume de Maulévrier"	"Guillaume de Maulévrier"				chevalier												102910	"a pour surnom"	"Guillaume de Maulévrier | a pour surnom - > Maulévrier (Seine-Maritime, Caudebec)"	98298	"Maulévrier (Seine-Maritime, Caudebec)"	"Maulévrier (Seine-Maritime, Caudebec)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235977						
83040	"Guillaume de Maumont"	"Guillaume de Maumont"				"chevalier du roi"												103415	"a pour surnom"	"Guillaume de Maumont | a pour surnom - > Maumont (Corrèze)"	84890	"Maumont (Corrèze)"	"Maumont (Corrèze)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e235992						
83041	"Guillaume de Mello"	"Guillaume de Mello"																																										Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e236010						
83042	"Jean Anquetin"	"Jean Anquetin"																																										Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e140064						
83043	"Guillaume de Melun"	"Guillaume de Melun"				"seigneur de Saint-Maurice-sur-Aveyron, juge député par la cour du roi"												102928	"a pour surnom"	"Guillaume de Melun | a pour surnom - > Melun (Seine-et-Marne)"	98350	"Melun (Seine-et-Marne)"	"Melun (Seine-et-Marne)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e236026						
83044	"Guillaume de Mercato"	"Guillaume de Mercato"				écuyer												326518	"est le surnom de"	"Mercato | est le surnom de - > Guillaume de Mercato"																								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e236041						
83045	"Guillaume de Milly (Me)"	"Guillaume de Milly (Me)"				"chantre du lieu, clerc du roi"																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e236056						
83046	"Guillaume de Mons"	"Guillaume de Mons"				damoiseau																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e236087						
