"Person H-ID"	"Person Record Title"	"Family name"	"Given name(s)"	"Alternate name(s) / title(s)"	Gender	"Short description"	"link with organisation (Record relationship) H-ID"	"Relationship type"	"link with organisation (Record relationship) Record Title"	"link with organisation H-ID"	"Organisation Record Title"	"link with organisation Record Title"	"link with person (Record relationship) H-ID"	"Relationship type"	"link with person (Record relationship) Record Title"	"link with person H-ID"	"link with person Record Title"	"link_to_place (Record relationship) H-ID"	"Relationship type"	"link_to_place (Record relationship) Record Title"	"link_to_place H-ID"	"Place Record Title"	"link_to_place Record Title"	"link with subject (Record relationship) H-ID"	"Title for relationship"	"Short description"	"Relationship type"	"Interpretation / commentary >"	"Interpretation / commentary > Record Title"	"link with subject (Record relationship) Record Title"	"link with subject H-ID"	"Subject Record Title"	"link with subject Record Title"	"link with act (Record relationship) H-ID"	"Title for relationship"	"Short description"	"Relationship type"	"Interpretation / commentary >"	"Interpretation / commentary > Record Title"	"link with act (Record relationship) Record Title"	"link with act H-ID"	"link with act Record Title"	Note	"Index reference"	"CartulR Entity ID"	IndexFontenay	"date from"	"date from (temporal)"	"date to"	"date to (temporal)"
81660	"Charles de Valois"	"Charles de Valois"		"Charles d'Anjou"		"comte de Valois, d'Alençon, de Chartres et d'Anjou, comes Valesii, Karolus comes Andegavensium"	319412|319437|321727|329428|329536|329558	"est comte / comtesse de|est comte / comtesse de|est comte / comtesse de|est comte / comtesse de|est comte / comtesse de|est comte / comtesse de"	"Charles de Valois | est comte / comtesse de - > Alençon, comté|Charles de Valois | est comte / comtesse de - > Anjou, comté|Charles de Valois | est comte / comtesse de - > Chartres, comté|Charles de Valois | est comte / comtesse de - > Alençon, comté|Charles de Valois | est comte / comtesse de - > Valois, comté|Charles de Valois | est comte / comtesse de - > Chartres, comté"	102259|95990|95814|102259|86825|95814	"Alençon, comté|Anjou, comté|Chartres, comté|Alençon, comté|Valois, comté|Chartres, comté"	"Alençon, comté|Anjou, comté|Chartres, comté|Alençon, comté|Valois, comté|Chartres, comté"						103267|319438|322851	"a pour surnom|a pour surnom|est lieutenant royal en"	"Charles de Valois | a pour surnom - > Valois (Aisne)|Charles de Valois | a pour surnom - > Anjou (Maine-et-Loire, Sarthe, Indre-et-Loire, Vienne, Mayenne)|Charles de Valois | est lieutenant du roi en - > Flandre"	101744|319436|96836	"Valois (Aisne)|Anjou (Maine-et-Loire, Sarthe, Indre-et-Loire, Vienne, Mayenne)|Flandre"	"Valois (Aisne)|Anjou (Maine-et-Loire, Sarthe, Indre-et-Loire, Vienne, Mayenne)|Flandre"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e183400						
81661	"Charles de Valois"	"Charles de Valois"				"fils du précédent"																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e183697						
81665	Albaron	Albaron				"seigneur de Montfrin, chevalier"	326194|330255	"est seigneur / dame de|est sire / seigneur / dame de"	"Albaron | est seigneur / dame de - > Montfrin, seigneurie|Albaron | est sire / seigneur / dame de - > Montfrin, seigneurie"	325950|325950	"Montfrin, seigneurie|Montfrin, seigneurie"	"Montfrin, seigneurie|Montfrin, seigneurie"																																Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e135129						
81666	"Charpentier (Bertaud)"	"Charpentier (Bertaud)"																																										Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e183985						
81671	"Chasselièvre (Adam)"	"Chasselièvre (Adam)"				chevalier																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e184712						
81676	"Pierre Albert"	"Pierre Albert"				"chevalier du roi, juge de Sault et de Limoux"												324214	"est juge royal de"	"Albert (Pierre) | est juge royal de - > Limoux (Aude)"	97880	"Limoux (Aude)"	"Limoux (Aude)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e135208						
81677	"Chastelain (Jean)"	"Chastelain (Jean)"				"prévôt de Melun"	331174	"est prévôt de"	"Chastelain (Jean) | est prévôt de - > Melun, prévôté"	98367	"Melun, prévôté"	"Melun, prévôté"																																Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e184830						
81678	"Chatard de Ravel"	"Chatard de Ravel"				"damoiseau, seigneur du lieu"												335849	"a pour surnom"	"Chatard de Ravel | a pour surnom - > Ravel (Puy-de-Dôme, Vertaizon)"	335847	"Ravel (Puy-de-Dôme, Vertaizon)"	"Ravel (Puy-de-Dôme, Vertaizon)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e184848						
81680	Châteauneuf-les-Bains	Châteauneuf-les-Bains		Châteauneuf-en-Auvergne		"auj. et"																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e185104						
81687	"Albert Ier"	"Albert Ier"		Albert		"comte-abbé de Saint-Quentin (Albert Ier, comte de Vermandois)"	326195|326196|329560|329586	"est comte / comtesse de|est comte-abbé de|est comte / comtesse de|est comte-abbé de"	"Albert Ier | est comte / comtesse de - > Vermandois, comté|Albert Ier | est comte-abbé de - > Saint-Quentin, église collégiale|Albert Ier | est comte / comtesse de - > Vermandois, comté|Albert Ier | est comte-abbé de - > Saint-Quentin, église collégiale, basilique"	101884|100933|101884|100937	"Vermandois, comté|Saint-Quentin, église collégiale|Vermandois, comté|Saint-Quentin, église collégiale, basilique"	"Vermandois, comté|Saint-Quentin, église collégiale|Vermandois, comté|Saint-Quentin, église collégiale, basilique"																																Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e135229						
81688	"Chatmar (Me Raimond)"	"Chatmar (Me Raimond)"				"substitut du procureur du roi"	325747	"est substitut du procureur royal de"	"Chatmar (Me Raimond) | est substitut du procureur royal dans - > Carcassonne et Béziers, sénéchaussée"	95477	"Carcassonne et Béziers, sénéchaussée"	"Carcassonne et Béziers, sénéchaussée"																																Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e186456						
81689	"Chauchat (Géraud)"	"Chauchat (Géraud)"				"bourgeois, de Clermont, panetier du roi"												328722	"est bourgeois / bourgeoise / habitant / habitante de"	"Chauchat (Géraud) | est bourgeois / bourgeoise / habitant / habitante de - > Clermont (Hérault, Lodève)"	81761	"Clermont (Hérault, Lodève)"	"Clermont (Hérault, Lodève)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e186498						
81690	"Chauchat (Jean)"	"Chauchat (Jean)"				"bourgeois de Clermont, valet du roi"												321962|328723	"est bourgeois / bourgeoise / habitant / habitante de|est bourgeois / bourgeoise / habitant / habitante de"	"Chauchat (Jean) | est bourgeois / habitant de - > Clermont (Puy-de-Dôme)|Chauchat (Jean) | est bourgeois / bourgeoise / habitant / habitante de - > Clermont (Hérault, Lodève)"	96030|81761	"Clermont (Puy-de-Dôme)|Clermont (Hérault, Lodève)"	"Clermont (Puy-de-Dôme)|Clermont (Hérault, Lodève)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e186529						
81692	"Chaumel (Pierre)"	"Chaumel (Pierre)"				"maire de Neuilly-sur-Margival"	329783	"est maire de"	"Chaumel (Pierre) | est maire de - > Margival, mairie"	98233	"Margival, mairie"	"Margival, mairie"																																Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e186572						
81693	"Chausardi (Bertrand)"	"Chausardi (Bertrand)"				"recteur de Tourreilles"																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e186750						
81694	"Chauvel (Geoffroi)"	"Chauvel (Geoffroi)"																																										Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e186807						
81695	"Chauvel (Geoffroi)"	"Chauvel (Geoffroi)"				"valet du roi"																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e186830						
81696	"Chauvelet (Geoffroi)"	"Chauvelet (Geoffroi)"				"échanson du roi"																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e186853						
81699	"Chauvet (Me Jean)"	"Chauvet (Me Jean)"				"de La Foye-Monjault"												328553	"a pour surnom"	"Chauvet (Me Jean) | a pour surnom - > Foye-Monjault (La) (Deux-Sèvres, Beauvoir-sur-Niort)"	96964	"Foye-Monjault (La) (Deux-Sèvres, Beauvoir-sur-Niort)"	"Foye-Monjault (La) (Deux-Sèvres, Beauvoir-sur-Niort)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e186910						
81700	"Chauvet (Me Jean)"	"Chauvet (Me Jean)"				"procureur du roi, dans la sénéchaussée de Périgord et Quercy"	329913|329923	"est procureur royal de|est procureur royal de"	"Chauvet (Me Jean) | est procureur royal de - > Périgord, sénéchaussée|Chauvet (Me Jean) | est procureur royal de - > Périgord, sénéchaussée"	99724|99724	"Périgord, sénéchaussée|Périgord, sénéchaussée"	"Périgord, sénéchaussée|Périgord, sénéchaussée"																																Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e186925						
81706	"Chemin (Élie)"	"Chemin (Élie)"				"chevalier du roi"																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e187167						
81708	"Chenin (Guillaume)"	"Chenin (Guillaume)"				"seigneur de Ersia et de La Barde"	319663|322631|330199|330316	"est seigneur / dame de|est seigneur / dame de|est sire / seigneur / dame de|est sire / seigneur / dame de"	"Chenin (Guillaume) | est seigneur / dame de - > Barde (La), seigneurie|Chenin (Guillaume) | est seigneur / dame de - > Ersia, seigneurie|Chenin (Guillaume) | est sire / seigneur / dame de - > Ersia, seigneurie|Chenin (Guillaume) | est sire / seigneur / dame de - > Barde (La), seigneurie"	99245|96638|96638|99245	"Barde (La), seigneurie|Ersia, seigneurie|Ersia, seigneurie|Barde (La), seigneurie"	"Barde (La), seigneurie|Ersia, seigneurie|Ersia, seigneurie|Barde (La), seigneurie"																																Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e187254						
81711	"Cherité (G.)"	"Cherité (G.)"																																										Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e187446						
81715	"Chevrier (Barthélemi)"	"Chevrier (Barthélemi)"				"bourgeois de Lyon, échanson du roi"												325371|328724	"est bourgeois / bourgeoise / habitant / habitante de|est bourgeois / bourgeoise / habitant / habitante de"	"Chevrier (Barthélemi) | est bourgeois / habitant de - > Lyon (Rhône)|Chevrier (Barthélemi) | est bourgeois / bourgeoise / habitant / habitante de - > Lyon (Rhône)"	98064|98064	"Lyon (Rhône)|Lyon (Rhône)"	"Lyon (Rhône)|Lyon (Rhône)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e187707						
81716	"Chevrier (Gui)"	"Chevrier (Gui)"				"chevalier du roi"																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e187722						
81718	"Spina di Chiarito"	"Spina di Chiarito"				"de Florence, demeurant à Melun"												326594|326596|326597|328504|328982	"a pour surnom|est originaire de / a été habitant de|est habitant / habitante de|a pour surnom|est habitant / habitante de"	"Spina di Chiarito | a pour surnom - > Chiarito|Spina di Chiarito | est originaire de / a été habitant de - > Florence|Spina di Chiarito | est habitant / habitante de - > Melun (Seine-et-Marne)|Spina di Chiarito | a pour surnom - > Florence|Spina di Chiarito | est habitant / habitante de - > Melun (Seine-et-Marne)"	326593|96865|98350|96865|98350	"Chiarito|Florence|Melun (Seine-et-Marne)|Florence|Melun (Seine-et-Marne)"	"Chiarito|Florence|Melun (Seine-et-Marne)|Florence|Melun (Seine-et-Marne)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e187821						
81719	"Chibout (Thierri)"	"Chibout (Thierri)"				"de Laon"												328881	"a pour surnom"	"Chibout (Thierri) | a pour surnom - > Laon (Aisne)"	97692	"Laon (Aisne)"	"Laon (Aisne)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e187836						
81720	"Biche Guidi"	"Biche Guidi"		"Biche Guy|Albizzo (ser)"																																								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e135402						
81721	"Chicho (Jean)"	"Chicho (Jean)"				"crieur des bans d'Orléans"																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e187851						
81722	"Chiflat ou de Chiflat (Girard)"	"Chiflat ou de Chiflat (Girard)"				"de Beaufort-du-Jura"												328892	"a pour surnom"	"Chiflat ou de Chiflat (Girard) | a pour surnom - > Beaufort-du-Jura (Jura, Lons-le-Saunier)"	100579	"Beaufort-du-Jura (Jura, Lons-le-Saunier)"	"Beaufort-du-Jura (Jura, Lons-le-Saunier)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e187910						
81723	"Chipot (Girard)"	"Chipot (Girard)"				"chanoine de Notre-Dame-de-Troyes"																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e188087						
81724	Chlo	Chlo				"fils du seigneur"																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e188166						
81725	"Choeri (Dani)"	"Choeri (Dani)"				"juif de Belvèze"												329041	"est juif / juive de"	"Choeri (Dani) | est juif / juive de - > Belvèze (ancien faubourg de Narbonne) (Aude)"	319979	"Belvèze (ancien faubourg de Narbonne) (Aude)"	"Belvèze (ancien faubourg de Narbonne) (Aude)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e188181						
81726	"Choisel (Jean)"	"Choisel (Jean)"				"chevalier du roi"																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e188212						
81728	"Cholet (Jean)"	"Cholet (Jean)"				cardinal																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e188354						
81729	"Chrestian (Guilhem)"	"Chrestian (Guilhem)"																																										Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e188385						
81730	"Chrétien (Adam)"	"Chrétien (Adam)"				"de Nemours, sa fille"												328903	"a pour surnom"	"Chrétien (Adam) | a pour surnom - > Nemours (Seine-et-Marne, Melun)"	98977	"Nemours (Seine-et-Marne, Melun)"	"Nemours (Seine-et-Marne, Melun)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e188400						
81732	"Chrétien de Roquefort"	"Chrétien de Roquefort"				"notaire public de Carcassonne"												322081|333375	"est notaire public royal de|est notaire public royal de"	"Chrétien de Roquefort | est notaire public royal de - > Carcassonne (Aude)|Chrétien de Roquefort | est notaire public royal de - > Carcassonne, ville (Aude)"	95428|333345	"Carcassonne (Aude)|Carcassonne, ville (Aude)"	"Carcassonne (Aude)|Carcassonne, ville (Aude)"																					Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e188415						
81733	"Ciampolo da Siena (héritiers de feu)"	"Ciampolo da Siena (héritiers de feu)"																																										Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e188497						
81736	"Cigongneau (Geoffroi)"	"Cigongneau (Geoffroi)"				écuyer																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e188575						
81739	Clarissius	Clarissius				"trésorier de Rodez"																																						Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e188860						
